;Pregunta;Respuesta
1;Cual de estas frases diría Michel;Hay que pincharle sangre de mono para ver si se acelera
2;Palabra predilecta de Elena H :;Sopena
3;Palabra favorita de Eva;Merequetengue
4;¿Que diría Sonia despues de recibir un mail de Comunicaciones?:;Entonces , ¿qué hay que hacer?
5;Saludo favorito de Alfonso;Días Buenos
6;que celebramos los viernes;San Viernes
7;Cajon de chocolates;Michel
8;Quien perdió la cesta miserablemente el año pasado?;Hector
9;Quien tiene más LEGO en la oficina?;Hector
10;Quien tiene apodo de un animal subterráneo?;Antonio Corbalán
11;Quien pertenece al equipo gambita?;Alfonso
12;Quien es la barman de Caléndula;Eva
13;Qué animal tiene miguel carrasco en la taza?;Un patito con un cuchillo amenazante
14;Quien ha osado a volver al mundo renovable ;Jose Bascones
15;Quien ha entrado y salido de la empresa visto y no visto este año;Un tal Vicente
16;Quien es la persona que más ha cambiado de departamento en su historia en Dilus;Aylen
17;Quien tiene un hermano gemelo;Raul 
18;Quien resucitó en Dilus?;Aylen (Jose ha sido levantamiento de cadaver)
19;Como se llama el datalogger de Grupo Dilus?;Neologg Pro
20;Como se llama el cactus de Laura Báez?;Pepinillo
21;Cual es la unica manera en la que leemos los mails de Comunicaciones ;En diagonal/ En oblicuo
22;Quien tiene una patata positiva en su mesa;Sofía
23;Cual es el titulo oficial en Soluciones 4.0 de Miguel Carrasco?;Amado lider
24;Tres Cantos, ese paradero tambien llamado;"3 ""estones"""
25;Ahí donde lo véis es un corredor nato;Juan Antonio V
26;Cual es el saludo estandarizado de Fernando Alfageme;Que pasa hermano!
27;Quien se ha casado este año?;Marta Gonzalez/ Daniel Morales 
28;Quien ha tenido una hija llamada Alicia este año?;Miguel Carrasco
29;Que le decimos siempre a Michel cuando habla de su hija?;Estas criando carne para los lobos
30;Quien tiene un perro con nombre de cerveza;Sofía
31;Consumidor oficial de chicles en la empresa;Don EDUARDO DE UGARTE 
32;Consumidora oficial de Red Bull y Monsters en la empresa;Sonia
33;Cuantas clases de galletas se consumen en Valdelaparra;7
34;Quien despide sus correos como el periodista Jose Maria García;Sandra
35;Como se llama el departamento de Sofia/Susana /Angeles ;Sistema Integrado de Gestión
36;A quién no se le puede tocar el calendario ?;Elena H
37;Quien otorga la presidencia del Comité de Festejos?;Eva
38;Buceador profesional;Fernando Suarez
39;Qué se acaricia D. Juan Alamo para pensar mejor;La barba
40;Frase tendencia del año 2024 en Calendula ;Que te peines con un muslo de pollo 
41;Que es marcarse un BLV ;"Un ""Buscate La Vida"""
42;Cómo se mide el nivel de marron de un asunto;Por el nº de emojis de cacas con ojos 
43;Desastre de alto nivel;Follón de proporciones Bíblicas
44;Cogerse la baja por no estar a la altura;Marcarse un Mary
45;Quien osó llamar Chiquitín al jefe;Alfonso
46;Con qué canción se avisa del momento Café ;Expresso Macciato
47;Originario de Valdelaparra;Valdeparriano
48;Originario de Calendula;Calenduliano 
49;A quien apodamos como una estación del año;Augusto (Ogost)
50;Quien hace referencia a un personaje de la serie Vikingos;Enrique Ahijon (Loki) 
51;Persona más veterana de la empresa ;Alberto perez ( alegir entre Alberto, Elena y Rober) 
52;Accesorio textil más preciado de Gustavo;El gorro
53;El más parecido a un pelocho;Hector
54;El más reconocido por sus melenas;Roberto
55;Eventos de esparcimiento social ;Mercerves
56;Descripción de Madrid según Augusto;Hormiguero sin guión 
57;Quien subió al 2º piso y se pensó que estaba en las puertas del cielo;Sofía 
58;Frase trending 2025;Por lo que sea
59;Frase hit despues de oir una buena queja;Have studied
60;Apodo de Juan Alamo;Golondrinas
61;Quiénes alargan las vocales cuando hablan ;Los técnicos 
62;Vegetariano de la empresa;Julio (opciones (SAndra, Juan, Julio)
63;Quien es la persona más joven de la empresa;Diego ( opciones : Chiara, Raul)
64;Quien ocupa el puesto Resp.Secc. Tª/AR;Marbelis
65;Qué significa ITS en el área comercial;Sistemas Inteligentes de Transporte 
66;A cual de estos sectores no nos dedicamos ;Volcanes, Terremotos incendios...
67;Respuesta de insecto muy empleada en el día a dia;Cri Cri
68;Qué color es el corporativo de Sequopro actualmente;Rojo ( confundir con verde)
69;Personal de Seguridad de Caléndula , tambien conocido como ...;Torrente 
70;Nombre coloquial de las ausencias de larga duración ;Bajaciones
71;Resopladora universal ante carga de trabajo;Elena H
72;En qué centro se reza el rosario ;Caléndula
73;"Título oficial de ""Paseante Telefónico""";Alberto pEREZ
74;Quien tiene el móvil como parte extensiva de su oreja incorporada a su cuerpo;Patrick
75;Apellido correcto de Albert;Creixell (opciones: Creitxell, Creitxel , Creixell)
76;El nombre mejor relacionado con el nombre de su empresa ;Marino 
77;Despedida habitual en los correos de Oswaldo;Salud!
78;Cuantos hijos tiene el CEO;2
79;Apellido correcto de Diego;Roharik (opciones: Roahrik, Rojarik,Roharik)
80;2º Apellido correcto de  Julio;Loayza (opciones : Loyaza, Loyza, Loayza)
81;Nombres más repetidos en la empresa;Enrique y Juan  (opciones: ANtonio, Daniel, Fernando)
82;Apellido correcto de Andres;Mombiela (opciones: Nombiela , Mombila , Mombiela) 
83;Segundo Apellido de Eduardo ;Martinez ( opciones: LLosa , de ugarte, Martinez)
84;Lema de Dilus ;Pasión por la precisión
85;Qué animal pisoteó los paneles en una planta y dejó sus pastelitos en los cables;Una oveja
86;Como es llamado Sequopro por ciertas personas;Secupro 
87;¿Como se define Valdelaparra 27?;Complejo Industrial 
88;Con qué siglas identificamos las ofertas de la empresa ;OV 
89;Con qué siglas identificamos los pedidos de la empresa ;PO
90;¿Qué es lo que nunca se debe hacer en Dilus?;Dar por hecho
91;Nunca te fíes de las frases que empiezan por.... ;"""Imagino que sí"" ""Supongo que sí se hace"""
92;¿quien dispara su pistola en Caléndula?;"El ""Consigna"""
93;Qué no le puede faltar a Elena H por la mañana ? ;Manzanilla con Anís 
94;¿Cómo se representaron todos los procesos de Dilus en el evento?;Con una cuerda y lazos 
95;;
96;;
97;;
98;;
99;;
100;;
101;;
102;;
103;;
104;;
105;;
106;;
107;;
108;;
109;;
110;;
111;;
112;;
113;;
114;;
115;;
116;;
117;;
118;;
119;;
120;;
121;;
122;;
123;;
124;;
125;;
126;;
127;;
128;;
129;;
130;;
131;;
132;;
133;;
134;;
135;;
136;;
137;;
138;;
139;;
140;;
141;;
142;;
143;;
144;;
145;;
146;;
147;;
148;;
149;;
150;;
151;;
152;;
153;;
154;;
155;;
156;;
157;;
158;;
159;;
